[01:35:18] [INFO] [1779730518.903495]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.36 誤差=-0.81
[01:35:19] [INFO] [1779730519.503305]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.26 誤差=-0.71
[01:35:20] [INFO] [1779730520.103138]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.15 誤差=-0.60
[01:35:20] [INFO] [1779730520.603562]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.07 誤差=-0.52
[01:35:21] [INFO] [1779730521.203444]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.04 誤差=-0.41
[01:35:21] [INFO] [1779730521.803215]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.15 誤差=-0.30
[01:35:22] [INFO] [1779730522.303396]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.24 誤差=-0.21
[01:35:22] [INFO] [1779730522.903716]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.35 誤差=-0.10
[01:35:23] [INFO] [1779730523.503532]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.42 誤差=+0.87
[01:35:24] [INFO] [1779730524.103035]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.34 誤差=+0.79
[01:35:24] [INFO] [1779730524.603656]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.25 誤差=+0.70
[01:35:25] [INFO] [1779730525.203372]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.15 誤差=+0.60
[01:35:25] [INFO] [1779730525.803194]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.04 誤差=+0.49
[01:35:26] [INFO] [1779730526.303350]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.05 誤差=+0.40
[01:35:26] [INFO] [1779730526.803572]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.15 誤差=+0.30
[01:35:27] [INFO] [1779730527.403465]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.29 誤差=+0.16
[01:35:28] [INFO] [1779730528.003203]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.47 誤差=-0.92
[01:35:28] [INFO] [1779730528.503451]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.46 誤差=-0.91
[01:35:29] [INFO] [1779730529.103525]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.44 誤差=-0.89
[01:35:29] [INFO] [1779730529.703159]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.41 誤差=-0.86
[01:35:30] [INFO] [1779730530.203623]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.39 誤差=-0.84
[01:35:30] [INFO] [1779730530.803371]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.24 誤差=-0.69
[01:35:31] [INFO] [1779730531.403135]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.05 誤差=-0.50
[01:35:31] [INFO] [1779730531.903453]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.11 誤差=-0.34
[01:35:32] [INFO] [1779730532.403520]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.27 誤差=-0.18
[01:35:33] [INFO] [1779730533.003393]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.43 誤差=+0.88
[01:35:33] [INFO] [1779730533.603152]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.45 誤差=+0.90
[01:35:33] [INFO] [1779730533.759097]: [EKF] 初始化完成，球的初始位置: X=0.566 Y=0.377
[01:35:33] [INFO] [1779730533.762792]: [TRACK] 球(+0.57, 0.38) v=(+0.00, +0.00) | 機器人X=-0.44 誤差=+0.89 | 速度=+0.22 θ=+0.047
[01:35:34] [0m[33m[WARN] [1779730534.408637]: [Fusion] 球消失超過 0.5 秒，進入 LOST 模式（EKF 繼續預測）
[01:35:34] [INFO] [1779730534.503310]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.35 誤差=+0.80
[01:35:35] [INFO] [1779730535.003682]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.34 誤差=+0.79
[01:35:35] [0m[33m[WARN] [1779730535.408548]: [Fusion] 球消失超過 1.5 秒，重置 EKF
[01:35:35] [INFO] [1779730535.603572]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.27 誤差=+0.72
[01:35:36] [INFO] [1779730536.203338]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.20 誤差=+0.65
[01:35:36] [INFO] [1779730536.703508]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.13 誤差=+0.58
[01:35:37] [INFO] [1779730537.203517]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.05 誤差=+0.50
[01:35:37] [INFO] [1779730537.803154]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.07 誤差=+0.52
[01:35:38] [INFO] [1779730538.108493]: [EKF] 初始化完成，球的初始位置: X=0.670 Y=0.748
[01:35:38] [INFO] [1779730538.112163]: [TRACK] 球(+0.67, 0.75) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.49 | 速度=+0.21 θ=+0.273
